home_id,title,postcode,price,street,houseNumber,city,quarter,latitude,longitude,livingSpace,numberOfRooms,balcony,garden,monthlyRate,builtInKitchen,home_url
126384292,"1,5 Zimmerwohnung im Dachgeschoss",12053,950.0,Ilsenhof,14,Berlin,Neukölln (Neukölln),52.471,13.4332,47.8,2.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/126384292
126379805,Familienfreundliche 4-Zimmer-Wohnung in ausgezeichneter Lage,12439,1358.0,Fließstraße,6,Berlin,Niederschöneweide (Treptow),52.45658,13.51485,96.95,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126379805
125310553,Luisenpark - große 3-Raumwohnung mit EBK und Süd-Balkon - Zentrum Berlins,10179,1650.0,Stallschreiberstraße,16,Berlin,Mitte (Mitte),52.50671,13.4076,89.7,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/125310553
103135708,Erlebe den Puls der City! Moderne 3-Zimmer-Wohnung auf 2 Etagen in bester Lage,10117,3363.57,Voßstraße,32,Berlin,Mitte (Mitte),52.51092,13.3814,170.66,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/103135708
126037538,"Stilvolle und attraktive 1,5-Zimmer Neubauwohnung",13585,750.0,Schützenstraße,14b,Berlin,Spandau (Spandau),52.55109,13.2119,54.0,1.5,true,false,N/A,false,https://www.immobilienscout24.de/expose/126037538
126307444,Lichtdurchflutete 2-Zimmer Neubauwohnung in der Wasserstadt Spandau!,13585,780.0,Schützenstraße,14a,Berlin,Spandau (Spandau),52.55109,13.2119,58.0,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126307444
122816407,Voll möbliertes Studio-Apartment mit Balkon in bester Lage von Kreuzberg,10785,857.89,Schöneberger Ufer,5a,Berlin,Kreuzberg (Kreuzberg),52.50198,13.37378,29.53,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/122816407
125725591,"**Bezugsfreie 2-Zimmer-Wohnung in Friedrichshain, EBK",10247,1070.0,Kreutziger Str.,4,Berlin,Friedrichshain (Friedrichshain),52.51425,13.46058,55.7,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/125725591
123681050,GRANDAIRE - 100 qm 3 Zimmerwohnung mit Panoramafenstern und südwest Ausrichtung,10179,1950.0,Voltairestraße,11,Berlin,Mitte (Mitte),52.51741,13.41611,101.36,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/123681050
126157008,Außergewöhnliches Maisonette Dachgeschoß zum Wohnen und Arbeiten nahe Hagenplatz,14193,3293.0,Höhmannstraße,5,Berlin,Grunewald (Wilmersdorf),52.48134,13.26386,178.57,5.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126157008
