home_id,title,postcode,price,street,houseNumber,city,quarter,latitude,longitude,livingSpace,numberOfRooms,balcony,garden,monthlyRate,builtInKitchen,home_url
126157008,Außergewöhnliches Maisonette Dachgeschoß zum Wohnen und Arbeiten nahe Hagenplatz,14193,3293.0,Höhmannstraße,5,Berlin,Grunewald (Wilmersdorf),52.48134,13.26386,178.57,5.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126157008
126117094,"Königlich Wohnen am Wannsee *5,5 Zimmer, Balkon, 2 Bäder, EBK*",14109,2389.01,Wernerstr.,1,Berlin,Wannsee (Zehlendorf),52.4194,13.15976,194.18,5.5,true,false,N/A,false,https://www.immobilienscout24.de/expose/126117094
125195077,Möblierte 2-Zimmer-Wohnung am Krausnickpark,10115,3300.0,N/A,N/A,Berlin,Mitte (Mitte),N/A,N/A,131.0,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/125195077
123605545,Hochwertig möbliertes City-Apartment im Herzen Berlins,10115,2100.0,N/A,N/A,Berlin,Mitte (Mitte),N/A,N/A,71.09,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/123605545
125744335,Immergrün - ruhig gelegene Erdgeschosswohnung mit 15 qm Terrasse,13189,1150.0,Talstr.,5,Berlin,Pankow (Pankow),52.5545,13.4261,64.11,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125744335
126305685,++Am Naturschutzgebiet++ Gut geschnittene 2-Zimmer-Senior*innenwohnung mit Balkon! WBS erforderlich!,12619,370.5,Lion-Feuchtwanger-Straße,21A,Berlin,Kaulsdorf (Hellersdorf),52.51747,13.58234,57.0,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126305685
126422785,vollmöblierte 2 Zimmer Wohnung in Bestlage zu vermieten,10115,1000.0,Schröderstraße,6,Berlin,Mitte (Mitte),52.53041,13.3939,41.0,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126422785
126198557,Exclusive 2-Zimmerwohnung im Diplomatenpark!,10785,1742.29,Köbisstraße,3,Berlin,Tiergarten (Tiergarten),52.50768,13.35402,115.69,2.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/126198557
126056825,Elegante 3-Zimmer-Wohnung mit Doorman und Südbalkon,10557,2164.8,Am Hamburger Bahnhof,3,Berlin,Tiergarten (Tiergarten),52.53027,13.37078,108.24,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126056825
124646705,Komfortable 3-Zimmer-Wohnung mit 2 Bädern und Terrasse,10557,1875.0,Klara-Franke-Straße,21,Berlin,Tiergarten (Tiergarten),52.53019,13.36386,117.23,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124646705
126455616,Luisenpark - 5-Raumwohnung mit 2 Balkonen u 2 Bädern- Zentrum Berlin,10179,2300.0,Stallschreiberstraße,23,Berlin,Mitte (Mitte),52.50751,13.40736,114.0,5.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126455616
126137115,3 Zimmer im Dachgeschoss mit traumhafter Terrasse!,10585,1798.83,Otto-Suhr-Allee ,26,Berlin,Charlottenburg (Charlottenburg),52.51506,13.31673,102.79,3.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126137115
126137318,3 Zimmer auf 113 m²,10115,2310.82,Chausseestraße ,41B,Berlin,Mitte (Mitte),52.5344,13.38022,113.5,3.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126137318
126213800,4-Zimmer Luxuswohnung mit Loggia am Potsdamer Platz,10963,2735.0,Gabriele-Tergit-Promenade,21,Berlin,Tiergarten (Tiergarten),52.50399,13.37442,120.0,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126213800
126206400,"Geräumige 2-Zimmer-Wohnung mit gehobener Ausstattung sowie 24-Std.-Concierge, Gym u.v.m.",10179,1509.15,Voltairestraße,11,Berlin,Mitte (Mitte),52.51741,13.41611,72.73,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126206400
126638813,Wohnen an der Spree in Charlottenburg mit allem Komfort ,10587,1598.4,Dovestraße,3c,Berlin,Charlottenburg (Charlottenburg),52.52019,13.32008,78.49,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126638813
126542188,Helle 3-Zimmer Wohnung mit Wannenbad sucht Mieter!,10315,514.08,Alt-Friedrichsfelde,104,Berlin,Friedrichsfelde (Lichtenberg),52.5105,13.51353,74.0,3.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/126542188
126542192,Moderne 2-Zimmer-Wohnung für Singles und junge Paare in Baumschulenweg!,12437,351.52,Eschenbachstraße,3,Berlin,Baumschulenweg (Treptow),52.46907,13.48977,43.0,2.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/126542192
126542401,Geräumige 2-Zimmer Wohnung mit Wintergarten! Nur mit WBS mit Dringlichkeit!!,12559,495.83,Salvador-Allende-Str.,76 C,Berlin,Köpenick (Köpenick),52.44828,13.59428,55.0,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126542401
126542522,Traumhafte 2-Zimmer Wohnung mit Wintergarten direkt an der Müggelspree!,12559,579.0,Salvador-Allende-Str.,76 C,Berlin,Köpenick (Köpenick),52.44828,13.59428,60.0,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126542522
126542657,Grandiose 3-Zimmer Wohnung mit Balkon und Einbauküche an der Müggelspree!,12559,690.0,Salvador-Allende-Str.,76 G,Berlin,Köpenick (Köpenick),52.44803,13.59535,72.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126542657
126543008,Schöne 3-Zimmer Wohnung an der Müggelspree!,12559,679.0,Salvador-Allende-Str.,76 N,Berlin,Köpenick (Köpenick),52.44803,13.59535,75.0,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126543008
126497141,"Modernisierte 2 Zimmerwohnung mit Einbauküche, Duschbad und Parkettboden",10369,770.0,Franz-Jacob-Straße,3,Berlin,Lichtenberg (Lichtenberg),52.52523,13.46447,47.46,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126497141
120834044,Ruhige zentrale Lage- Claystudios,14169,769.0,Clayallee,336,Berlin,Zehlendorf (Zehlendorf),52.43719,13.26222,34.0,1.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/120834044
120561232,Zentrale Lage in ruhiger Nachbarschaft - Nidostudent,14199,679.0,Breite Straße,42,Berlin,Schmargendorf (Wilmersdorf),52.4736,13.29542,35.0,1.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/120561232
121008348,Möblierte Zimmer - Gemeinschaftsbereiche - Zentrale Lage - NidoStudent,12205,559.0,Unter den Eichen,96,Berlin,Lichterfelde (Steglitz),52.44537,13.29355,17.0,1.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/121008348
124514586,No.1 Charlottenburg - Wohnung zum Erstbezug,10623,1872.1,Wegelystrasse,6,Berlin,Charlottenburg (Charlottenburg),52.51587,13.33335,77.2,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124514586
125310553,Luisenpark - große 3-Raumwohnung mit EBK und Süd-Balkon - Zentrum Berlins,10179,1650.0,Stallschreiberstraße,16,Berlin,Mitte (Mitte),52.50671,13.4076,89.7,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/125310553
103135708,Erlebe den Puls der City! Moderne 3-Zimmer-Wohnung auf 2 Etagen in bester Lage,10117,3363.57,Voßstraße,32,Berlin,Mitte (Mitte),52.51092,13.3814,170.66,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/103135708
122816407,Voll möbliertes Studio-Apartment mit Balkon in bester Lage von Kreuzberg,10785,857.89,Schöneberger Ufer,5a,Berlin,Kreuzberg (Kreuzberg),52.50198,13.37378,29.53,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/122816407
125725591,"**Bezugsfreie 2-Zimmer-Wohnung in Friedrichshain, EBK",10247,1070.0,Kreutziger Str.,4,Berlin,Friedrichshain (Friedrichshain),52.51425,13.46058,55.7,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/125725591
123681050,GRANDAIRE - 100 qm 3 Zimmerwohnung mit Panoramafenstern und südwest Ausrichtung,10179,1950.0,Voltairestraße,11,Berlin,Mitte (Mitte),52.51741,13.41611,101.36,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/123681050
126367227,Dachgeschoßneubau im Erstbezug - Aufzug-Parkett-Drei Schlafzimmer-EBK-elektr. Sonnenschutz-,10439,2965.0,Wichertstraße,51,Berlin,Prenzlauer Berg (Prenzlauer Berg),52.5472,13.42473,107.81,5.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126367227
124845890,Repräsentatives Wohnen auf höchstem Niveau am Gendarmenmarkt,10117,3850.0,Markgrafenstraße,42,Berlin,Mitte (Mitte),52.5152,13.39372,209.0,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124845890
126295475,Luxuriöses Wohnen am Hochmeisterplatz nahe Kudamm -Erstbezug mit Vollausstattung-,10709,1638.0,Nestorstraße,50,Berlin,Wilmersdorf (Wilmersdorf),52.49668,13.30076,60.68,2.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126295475
125369419,Coming Soon - Der Himmel über Berlin: Exklusive Dachterrassenwohnung in Schöneberger Kiezlage ,10827,2799.0,Gustav-Freytag-Straße,8,Berlin,Schöneberg (Schöneberg),52.48046,13.35005,139.0,4.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/125369419
125825014,"Hochwertig möblierte Wohnung mit Balkon im Palais ""Varnhagen"" von David Chipperfield in Berlin-Mitte",10117,2430.0,Französische Straße,56-60,Berlin,Mitte (Mitte),52.51469,13.38749,80.44,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125825014
124017572,"Penthouse mit Kamin, 2 Terrassen, Dachterrasse und TG-Stellplatz",10115,2547.6,Scharnhorststr.,8c,Berlin,Mitte (Mitte),52.53387,13.37151,127.38,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124017572
124385467,Helle 2-Zimmer-Wohnung ohne Balkon,10713,722.0,Wilhelmsaue,32,Berlin,Wilmersdorf (Wilmersdorf),52.48553,13.31919,36.1,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/124385467
126524252,"Schöne Ein Zimmer Wohnung in Berlin, Adlershof (Treptow) - Barrierefrei",12489,497.95,Stienitzseestr.,42,Berlin,Adlershof (Treptow),52.44017,13.5484,27.36,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126524252
88796792,Fully furnished luxury apartment next to Olivaer Platz & Kudamm,10707,1880.0,Pariser Straße,23-24,Berlin,Wilmersdorf (Wilmersdorf),52.49885,13.31725,86.5,2.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/88796792
126617167,!!300 EUR discount for the first month rent Furnished 2 room flat in heart of Berlin Gym & Concierge,10557,949.0,Lehrter Str.,24B,Berlin,Tiergarten (Tiergarten),52.53156,13.36119,29.95,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126617167
126617414,!!363 EUR discount for the first month rent Furnished 2 room flat heart of Berlin- Gym & Concierge,10557,1207.0,Lehrter Str.,24B,Berlin,Tiergarten (Tiergarten),52.53156,13.36119,46.75,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126617414
126617021,!!225 EUR discount for the first month rent!! Furnished studio within 20 mins from Friedrichshain,12555,674.0,Lindenstraße,28,Berlin,Köpenick (Köpenick),52.45316,13.568,29.12,1.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126617021
126616609,Möblierte 3-Zimmer Wohnung mit Balkon in Mitte,10179,1995.0,Stallschreiber Straße,30,Berlin,Mitte (Mitte),52.50739,13.40648,76.6,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126616609
110648158,NEUBAU-ERSTBEZUG am Maybachufer mit traumhaftem Wasserblick!,12047,2730.0,Maybachufer,38,Berlin,Neukölln (Neukölln),52.49177,13.43283,156.0,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/110648158
125924972,2-Zimmer-Seniorenwohnung,12619,405.67,Gadebuscher Straße,25A,Berlin,Kaulsdorf (Hellersdorf),52.51709,13.58044,62.41,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/125924972
126001545,"Berlin-Spandau-Schöne 3 Zimmer-Mietwohnung mit großem Balkon, Bad, Gäste-WC und viel Ruhe im Grünen",13591,1200.0,N/A,N/A,Berlin,Staaken (Spandau),N/A,N/A,145.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126001545
126469432,1-Zimmer-Seniorenwohnung,12619,446.72,Gadebuscher Straße,25A,Berlin,Kaulsdorf (Hellersdorf),52.51709,13.58044,45.12,1.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126469432
126351147,Dachgeschoßneubau im Erstbezug - Aufzug-Parkett-Vier Schlafzimmer-EBK-elektr. Sonnenschutz-,10439,2833.0,Wichertstraße,51,Berlin,Prenzlauer Berg (Prenzlauer Berg),52.5472,13.42473,103.01,5.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126351147
125254742,"WG-Zimmer für Studierende, Azubis & Praktikanten: All-In-Miete, Paketstation, Fahrradgarage und w...",12459,399.0,Ostendstraße,27,Berlin,Oberschöneweide (Köpenick),52.45739,13.53199,15.36,1.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/125254742
126055024,"Dein möbliertes WG-Zimmer in Berlin: All-In-Miete, Paketstation, Fahrradgarage und weiteren Extras",12459,419.0,Ostendstraße,27,Berlin,Oberschöneweide (Köpenick),52.45739,13.53199,16.95,1.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/126055024
126671257,Möbliertes Apartment direkt in Berlin-Mitte zur All-In Miete,10179,736.59,Michaelkirchstraße,21,Berlin,Mitte (Mitte),52.51117,13.4224,27.71,1.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/126671257
126671378,Wohnen direkt in Berlin Mitte - möbliertes Apartment Zur All IN Miete,10179,643.73,Michaelkirchstraße,21,Berlin,Mitte (Mitte),52.51117,13.4224,19.14,1.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/126671378
123605674,Hochwertig möbliertes City-Apartment im Herzen Berlins,10115,1900.0,N/A,N/A,Berlin,Mitte (Mitte),N/A,N/A,65.37,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/123605674
123605279,Hochwertig möbliertes City-Apartment im Herzen Berlins,10115,4350.0,N/A,N/A,Berlin,Mitte (Mitte),N/A,N/A,131.92,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/123605279
126055021,"** Vollmöbliertes, neues Zimmer in Gemeinschaftsapartments  am HTW-Campus Oberschöneweide **",12459,399.0,Ostendstraße,27,Berlin,Oberschöneweide (Köpenick),52.45739,13.53199,15.08,1.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/126055021
126689436,MODERNE MAISONETTE - RUHIGE LAGE - FÜR EINE FAMILIE ODER ZUM WOHNEN & ARBEITEN,14050,1750.0,N/A,N/A,Berlin,Charlottenburg (Charlottenburg),N/A,N/A,133.0,4.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126689436
126689000,Ruhiglage im grünen Buckow - Nette Mieterschaft - Sofort bezugsfrei,12353,564.39,Kölner Damm,66,Berlin,Buckow (Neukölln),52.42509,13.45085,84.49,3.5,true,false,N/A,true,https://www.immobilienscout24.de/expose/126689000
126688253,WBS - zwingend notwendig!!! Individueller Schnitt mit Wasserblick in Tegel,13507,872.84,Gabrielenstraße ,77,Berlin,Tegel (Reinickendorf),52.58981,13.26795,116.69,5.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126688253
126628223,"Schön eingerichtete 1,5 Zimmer an den Hackeschen Höfen",10178,700.0,Sophienstr.,5,Berlin,Mitte (Mitte),52.52521,13.40161,51.6,1.5,false,false,N/A,true,https://www.immobilienscout24.de/expose/126628223
