home_id,title,postcode,price,street,houseNumber,city,quarter,latitude,longitude,livingSpace,numberOfRooms,balcony,garden,monthlyRate,builtInKitchen,home_url
124523467,"Luisenpark - 2 Zimmer mit Terrasse, EBK, Parkett und Duschbad",10179,1149.0,Stallschreiberstraße,18,Berlin,Mitte (Mitte),52.50717,13.40702,61.2,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124523467
124514586,No.1 Charlottenburg - Wohnung zum Erstbezug,10623,1872.1,Wegelystrasse,6,Berlin,Charlottenburg (Charlottenburg),52.51587,13.33335,77.2,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124514586
126222115,"Nur mit WBS für 2 Personen, Anmietung bereits zum 16.02.2021 oder 01.03.2021 möglich",10365,404.42,Magdalenenstr.,12,Berlin,Lichtenberg (Lichtenberg),52.51348,13.48872,64.5,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126222115
126222116,"Wohnung mit WBS
Maler- und Tapezierarbeiten erforderlich
bezugsfertig 01.03.2021",10315,467.64,Charlottenstr.,1 C,Berlin,Friedrichsfelde (Lichtenberg),52.5081,13.52259,68.03,3.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126222116
126050110,ERSTBEZUG | EBK | Duschbad | Wannenbad | HWR | Loggia | Balkon,10587,1656.37,Fraunhoferstraße,31,Berlin,Charlottenburg (Charlottenburg),52.51492,13.32052,85.38,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126050110
126050122,ERSTBEZUG | EBK | Duschbad & Wannenbad | Loggia,10587,1787.9,Fraunhoferstraße,31,Berlin,Charlottenburg (Charlottenburg),52.51492,13.32052,92.16,3.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126050122
125199133,Erstbezug: Moderne 2-Zimmer-Wohnung im Dachgeschoss inkl. EBK und 2 Terrassen!,12109,911.0,Rixdorfer Str.,76,Berlin,Mariendorf (Tempelhof),52.44755,13.40225,56.96,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125199133
109710791,Ihr neues Zuhause?!,10585,1012.87,Otto-Suhr-Allee ,26,Berlin,Charlottenburg (Charlottenburg),52.51506,13.31673,59.9,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/109710791
104939677,Mit Balkon zum Innenhof und Tageslichbad!,10585,1002.97,Otto-Suhr-Allee ,26,Berlin,Charlottenburg (Charlottenburg),52.51506,13.31673,57.27,2.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/104939677
126137683,Mit Terrasse zum Verweilen und Kamin!,10587,2075.24,Fraunhoferstraße ,22,Berlin,Charlottenburg (Charlottenburg),52.51565,13.31785,148.2,5.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/126137683
126198557,Exclusive 2-Zimmerwohnung im Diplomatenpark!,10785,1742.29,Köbisstraße,3,Berlin,Tiergarten (Tiergarten),52.50768,13.35402,115.69,2.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/126198557
126198552,Exklusive 4-Zimmer-Wohnung am Potsdamer Platz,10963,2515.02,Gabriele-Tergit-Promenade,17,Berlin,Tiergarten (Tiergarten),52.50538,13.37562,167.0,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126198552
125643299,Newly renovated 2BR flat – 20min to Alex,13359,755.0,Zechliner Straße,9a,Berlin,Wedding (Wedding),52.56141,13.38331,71.0,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/125643299
125744335,"Immergrün - 2 Raum im Erdgeschoss mit Terrasse, EBK und Parkett",13189,1150.0,Talstr.,5,Berlin,Pankow (Pankow),52.5545,13.4261,64.11,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125744335
