home_id,title,postcode,price,street,houseNumber,city,quarter,latitude,longitude,livingSpace,numberOfRooms,balcony,garden,monthlyRate,builtInKitchen,home_url
125744439,Immergrün - 2 Raum großem Balkon und direktem Dachterrassenzugang,13189,1399.0,Talstr.,5,Berlin,Pankow (Pankow),52.5545,13.4261,70.21,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125744439
125062371,Ideale 2-Zimmer-Senior*innenwohnung mit Terrasse in naturnaher Lage **WBS erforderlich**,12619,388.38,Gadebuscher Straße,25A,Berlin,Kaulsdorf (Hellersdorf),52.51709,13.58044,59.75,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/125062371
125587131,✓ Neubau ✓ Kamin ✓ Zwei Terrassen ✓ EBK ✓ ca. 50m² Wohnküche ✓ Fußbodenheizung,10825,2744.74,Innsbrucker Straße,36,Berlin,Schöneberg (Schöneberg),52.48052,13.34324,144.46,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125587131
120834044,Ruhige zentrale Lage- Claystudios,14169,769.0,Clayallee,336,Berlin,Zehlendorf (Zehlendorf),52.43719,13.26222,34.0,1.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/120834044
120561232,Zentrale Lage in ruhiger Nachbarschaft - Nidostudent,14199,679.0,Breite Straße,42,Berlin,Schmargendorf (Wilmersdorf),52.4736,13.29542,35.0,1.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/120561232
121008348,Möblierte Zimmer - Gemeinschaftsbereiche - Zentrale Lage - NidoStudent,12205,559.0,Unter den Eichen,96,Berlin,Lichterfelde (Steglitz),52.44537,13.29355,17.0,1.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/121008348
124276805,Ideale Single-Wohnungen - Erstbezug im Frühjahr!,12623,849.0,Hultschiner Damm,248,Berlin,Mahlsdorf (Hellersdorf),52.49609,13.61179,49.0,1.5,true,false,N/A,true,https://www.immobilienscout24.de/expose/124276805
125310553,Luisenpark - große 3-Raumwohnung mit EBK und Süd-Balkon - Zentrum Berlins,10179,1650.0,Stallschreiberstraße,16,Berlin,Mitte (Mitte),52.50671,13.4076,89.7,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/125310553
123681050,GRANDAIRE - 100 qm 3 Zimmerwohnung mit Panoramafenstern und südwest Ausrichtung,10179,2080.0,Voltairestraße,11,Berlin,Mitte (Mitte),52.51741,13.41611,101.36,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/123681050
124528579,GRANDAIRE - Komfort und exklusives Wohnen auf ganzer Linie,10179,1475.06,Voltairestraße,11,Berlin,Mitte (Mitte),52.51741,13.41611,80.83,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124528579
