home_id,title,postcode,price,street,houseNumber,city,quarter,latitude,longitude,livingSpace,numberOfRooms,balcony,garden,monthlyRate,builtInKitchen,home_url
133273016,Perfekt für Singles und Paare! Moderne 2-Zimmer Wohnung mit Balkon,13581,995.0,Grünhofer Weg,30,Berlin,Spandau (Spandau),52.5309,13.18715,71.16,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133273016
131547630,Anspruchsvolles Wohnen im Neubauquartier Be MAX in Charlottenburg-Wilmersdorf,14199,1070.0,Helene-Jacobs-Straße,28,Berlin,Schmargendorf (Wilmersdorf),52.47899,13.29765,56.09,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131547630
133310553,Mach dein Wohnglück perfekt: Moderne 2-Zimmer Wohnung mit Einbauküche in Schmargendorf,14199,1095.0,Werner-Richard-Heymann-Platz,4,Berlin,Schmargendorf (Wilmersdorf),52.47891,13.29779,55.18,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133310553
133310442,NEUBAU! ERSTBEZUG! Helle 3-Zimmer Wohnung,14199,1495.0,Helene-Jacobs-Straße,10,Berlin,Schmargendorf (Wilmersdorf),52.47925,13.29831,78.57,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133310442
133310529,NEUBAU! ERSTBEZUG! Helle 3-Zimmer Wohnung,14199,1590.0,Werner-Richard-Heymann-Platz,2,Berlin,Schmargendorf (Wilmersdorf),52.47888,13.29809,78.45,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133310529
133310579,Perfekt für kleine Familien! Moderne 3-Zimmer Wohnung in Charlottenburg-Wilmersdorf,14199,1495.0,Werner-Richard-Heymann-Platz,4,Berlin,Schmargendorf (Wilmersdorf),52.47891,13.29779,76.81,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133310579
130236268,Perfekt für uns: großzügige 4-Zimmer-Wohnung mit Einbauküche und Balkon,12103,1699.02,In den Alboingärten,17,Berlin,Schöneberg (Schöneberg),52.46068,13.36457,107.2,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/130236268
132403419,Perfekt für kleine Familien! Moderne 3-Zimmer Wohnung in Charlottenburg-Wilmersdorf,14199,1570.0,Helene-Jacobs-Straße,32,Berlin,Schmargendorf (Wilmersdorf),52.47965,13.29771,83.01,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/132403419
133208841,Grünau! Geräumige 4 - Zimmerwohnung zu vermieten,12527,1720.0,Regattastraße,91,Berlin,Grünau (Köpenick),52.41994,13.57912,108.94,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133208841
75694793,Schöne 3-Zimmer-Wohnung zu vermieten!,10405,777.0,Marienburger Straße,33,Berlin,Prenzlauer Berg (Prenzlauer Berg),52.53437,13.42692,64.71,3.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/75694793
133534924,3-Zimmer- Wohnung mit garantiertem Wohlfühlfaktor!!,13405,1800.0,Rue du Capitaine Jean Maridor,3,Berlin,Reinickendorf (Reinickendorf),52.56746,13.30148,102.38,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133534924
124371359,No. 1 Charlottenburg - Luxury Penthouse,10623,4449.43,Wegelystrasse,6,Berlin,Charlottenburg (Charlottenburg),52.51587,13.33335,143.53,3.5,true,false,N/A,true,https://www.immobilienscout24.de/expose/124371359
133481145,Attraktive Neubauwohnung mit 3 Zimmern und Balkon im Stadtgut Hellersdorf! // BEG 240,12629,818.18,Brigitte-Reimann-Straße,10,Berlin,Hellersdorf (Hellersdorf),52.54366,13.59607,74.38,3.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/133481145
131922891,Möbliertes Wohnen für Young Professionals in Friedrichshain – unit36 Classic Line,10247,590.0,Gürtelstraße,36,Berlin,Friedrichshain (Friedrichshain),52.51061,13.47465,21.0,1.0,false,true,N/A,false,https://www.immobilienscout24.de/expose/131922891
131589336,Möbliertes 1-Zimmer-Apartment – unit36 Compact Line,10247,490.0,Gürtelstraße,36,Berlin,Friedrichshain (Friedrichshain),52.51061,13.47465,18.0,1.0,false,true,N/A,false,https://www.immobilienscout24.de/expose/131589336
131922892,Stilvolle bezugsfertige Apartments in Berlin Friedrichshain – unit36 Convenient Line,10247,810.0,Gürtelstr.,36,Berlin,Friedrichshain (Friedrichshain),52.51061,13.47465,27.0,1.0,false,true,N/A,false,https://www.immobilienscout24.de/expose/131922892
132452101,Luxus mit Wasserblick: 5 Zimmer Wohnung am Maybachufer,12047,3969.0,Maybachufer,37-38,Berlin,Neukölln (Neukölln),52.49207,13.43215,188.02,5.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/132452101
133094166,Auf 2 Etagen: Großzügige 164m² Wohnraum,14050,2428.84,Nussbaumallee,14,Berlin,Charlottenburg (Charlottenburg),52.51761,13.273,164.0,3.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/133094166
133467078,Luxus-Wohnung in der Villa Grunewaldherz,14195,8000.0,N/A,N/A,Berlin,Schmargendorf (Wilmersdorf),N/A,N/A,188.01,4.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/133467078
133555705,Möbliertes Studio Nähe Boxhagener Platz im Neubau-Erstbezug,10247,1100.0,Kreutziger Straße,14,Berlin,Friedrichshain (Friedrichshain),52.51296,13.45948,26.34,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133555705
117126387,Nido I All-inclusive Wohnen - Zimmer für's Frühjahr '22 sichern,14199,719.0,Breite Straße,"42, 42A-B",Berlin,Schmargendorf (Wilmersdorf),52.4736,13.29542,33.0,1.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/117126387
132845476,Familienfreundliches Townhouse mit großzügiger Terrasse im Herzen von Berlin,10117,5193.2,Leipziger Platz,12,Berlin,Mitte (Mitte),52.51041,13.38063,242.51,7.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/132845476
132872297,Ihr neues Zuhause: individuelle 2-Zimmer-Wohnung mit 2 Terrassen und Einbauküche!,12103,1414.87,In den Alboingärten,23,Berlin,Schöneberg (Schöneberg),52.46068,13.36375,81.12,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/132872297
132385890,"Individuelle 2,5-Zimmer-Wohnung mit großer Terrasse und Einbauküche",12103,1958.42,In den Alboingärten,21,Berlin,Schöneberg (Schöneberg),52.46044,13.36367,101.11,2.5,true,false,N/A,true,https://www.immobilienscout24.de/expose/132385890
130888346,Gemütliche 2 Zimmerwohnung im Herzen von Berlin,10117,2158.4,Leipziger Platz,12,Berlin,Mitte (Mitte),52.51041,13.38063,89.33,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/130888346
133524194,B.PLACE - Stilvolle 2-Zimmer Wohnung im urbanen Zentrum Berlins mit großem Balkon,10117,2100.0,Cora-Berliner-Straße,2-4,Berlin,Mitte (Mitte),52.51441,13.38003,61.0,2.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/133524194
133579356,"Stilvolle, modernisierte 2,5-Zimmer-Wohnung mit Balkon",13593,973.0,N/A,N/A,Berlin,Staaken (Spandau),N/A,N/A,76.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133579356
133505181,"Möbliertes 1-Zimmer-Wohnung in Berlin, Innenstadt",10117,550.0,N/A,N/A,Berlin,Mitte (Mitte),N/A,N/A,34.0,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133505181
132820207,Erstbezug - Traumhaftes Wohnen am Volkspark Friedrichshain,10245,2500.0,"Landsberger Allee, WE01",20-22,Berlin,Friedrichshain (Friedrichshain),52.52312,13.43637,123.0,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/132820207
132820275,Erstbezug - Wohnung mit Terrasse am Volkspark Friedrichshain!,10245,2300.0,"Landsberger Allee, WE04",20-22,Berlin,Friedrichshain (Friedrichshain),52.52312,13.43637,113.0,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/132820275
133449674,Atemberaubendes Townhouse mit Wasserblick!,10115,8500.0,An der Kieler Brücke,24,Berlin,Mitte (Mitte),52.53622,13.36715,373.0,6.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133449674
132963484,2-Zi-Penthouse-Whg mit großer Terrasse u. bodentiefen Fenstern EBK u. Aufzug,10435,2744.0,N/A,N/A,Berlin,Prenzlauer Berg (Prenzlauer Berg),N/A,N/A,107.68,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/132963484
133571880,An der Spree gg der Museumsinsel 4 Zi-Whg mit Balkon Aufzug TG u. Concierge (2.1),10178,3166.14,N/A,N/A,Berlin,Mitte (Mitte),N/A,N/A,190.4,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133571880
133446004,Wunderschöne 2 Zimmer Wohnung in direkter Umgebung des Volkspark Friedrichshain,10249,1820.0,Auerstraße,47,Berlin,Friedrichshain (Friedrichshain),52.52139,13.44622,47.0,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133446004
131028289,Neue 2-Zimmer-Wohnung in Tiergarten!,10785,1279.0,Dennewitzstrasse,36-40,Berlin,Tiergarten (Tiergarten),52.49949,13.3702,58.18,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/131028289
133356505,"Wohnen direkt am Tauentzien, Nähe KaDeWe",10789,1109.0,Nürnberger Straße,20,Berlin,Charlottenburg (Charlottenburg),52.502,13.33748,52.56,2.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/133356505
133547207,Super gelegene 3 Zimmer Neubauwohnung mit toller Austattung direkt am Park am Gleisdreieck.,10783,2750.0,Dennewitzstraße,40,Berlin,Tiergarten (Tiergarten),52.49922,13.37027,76.0,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133547207
133271253,Barrierefrei Wohnen und Leben in Bohnsdorf - Erdgeschosswohnung mit Stellplatz,12526,1259.7,N/A,N/A,Berlin,Bohnsdorf (Treptow),N/A,N/A,74.1,3.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/133271253
133441413,ERSTBEZUG NAHE KU´DAMM: sehr helle und großzügige Wohnung in urbaner Citylage,10785,3750.0,N/A,N/A,Berlin,Tiergarten (Tiergarten),N/A,N/A,152.0,4.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/133441413
133564466,Ruhig und elegant: 2-Zimmer-Wohnung mit Süd-Balkon in Biesdorf,12683,1264.0,N/A,N/A,Berlin,Biesdorf (Marzahn),N/A,N/A,64.83,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/133564466
133023844,Maison Roseneck: Exklusive Single-Wohnung mit Sonnenbalkon im Erstbezug,14199,1123.0,Ruhlaer Straße,21,Berlin,Schmargendorf (Wilmersdorf),52.47785,13.28436,43.2,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133023844
133327547,"Geräumige 4,5 Zimmerwohnung in ruhiger Lage!",13088,1649.0,Bizetstraße,123,Berlin,Weißensee (Weißensee),52.55031,13.46323,126.77,4.5,true,false,N/A,false,https://www.immobilienscout24.de/expose/133327547
133061501,Topsanierte Ladeneinheit in Lichterfelde mit großer Freifläche zu vermieten,12207,1622.0,Morgensternstr.,12,Berlin,Lichterfelde (Steglitz),52.42634,13.31751,64.88,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/133061501
131229396,Hochwertige Dachgeschosswohnung In TOP Lage unweit Ludwigkirchplatz,10707,4900.0,N/A,N/A,Berlin,Wilmersdorf (Wilmersdorf),N/A,N/A,210.0,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/131229396
130384078,***Erstbezug*** Wohnen über den Dächern von Charlottenburg!,14057,2640.0,Witzlebenstraße,25,Berlin,Charlottenburg (Charlottenburg),52.50709,13.29308,125.8,2.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/130384078
130382156,***Erstbezug*** Wohnen über den Dächern von Charlottenburg!,14057,2935.0,Neue Kantstraße,4,Berlin,Charlottenburg (Charlottenburg),52.50711,13.29323,144.4,4.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/130382156
133554007,Modernisierte 1- Zimmerwohnung mit Balkon und Einbauküche zu vermieten,12249,639.0,Derfflingerstr.,34 a,Berlin,Lankwitz (Steglitz),52.42964,13.33825,38.37,1.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/133554007
132601140,Penthouse Wohnung Waidmannslust  (Reinickendorf),13469,2300.0,N/A,N/A,Berlin,Waidmannslust (Reinickendorf),N/A,N/A,115.0,3.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/132601140
