home_id,title,postcode,price,street,houseNumber,city,quarter,latitude,longitude,livingSpace,numberOfRooms,balcony,garden,monthlyRate,builtInKitchen,home_url
124856902,"London? Paris? Berlin!! 2,5 Zi. Stadtresidenz direkt am Schloss mit Concierge, 5 Sterne Wohnservice",10117,3925.0,N/A,N/A,Berlin,Mitte (Mitte),N/A,N/A,98.13,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124856902
126455616,Luisenpark - 5-Raumwohnung mit 2 Balkonen u 2 Bädern- Zentrum Berlin,10179,2300.0,Stallschreiberstraße,23,Berlin,Mitte (Mitte),52.50751,13.40736,114.0,5.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/126455616
126137318,3 Zimmer auf 113 m²,10115,2310.82,Chausseestraße ,41B,Berlin,Mitte (Mitte),52.5344,13.38022,113.5,3.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/126137318
126206400,"Geräumige 2-Zimmer-Wohnung mit gehobener Ausstattung sowie 24-Std.-Concierge, Gym u.v.m.",10179,1509.15,Voltairestraße,11,Berlin,Mitte (Mitte),52.51741,13.41611,72.73,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126206400
120478750,5-Zimmerwohnung zum Selbstrenovieren mit Dekoöfen in Köpenick,12555,1189.29,Puchanstraße,3,Berlin,Köpenick (Köpenick),52.45508,13.58002,159.7,5.0,true,true,N/A,false,https://www.immobilienscout24.de/expose/120478750
126347094,WBS für Senioren erforderlich! Nur wenige Schritte bis zu den Gärten der Welt!,12685,340.0,Krummenseer Str.,2,Berlin,Marzahn (Marzahn),52.54185,13.57097,45.06,1.5,false,false,N/A,false,https://www.immobilienscout24.de/expose/126347094
125744439,Immergrün - Penthouse mit Dachterrasse im Erstbezug,13189,1399.0,Talstr.,5,Berlin,Pankow (Pankow),52.5545,13.4261,70.21,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125744439
124514586,No.1 Charlottenburg - Wohnung zum Erstbezug,10623,1872.1,Wegelystrasse,6,Berlin,Charlottenburg (Charlottenburg),52.51587,13.33335,77.2,3.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/124514586
125199133,Erstbezug: Moderne 2-Zimmer-Wohnung im Dachgeschoss inkl. EBK und 2 Terrassen!,12109,911.0,Rixdorfer Str.,76,Berlin,Mariendorf (Tempelhof),52.44755,13.40225,56.96,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125199133
126198557,Exclusive 2-Zimmerwohnung im Diplomatenpark!,10785,1742.29,Köbisstraße,3,Berlin,Tiergarten (Tiergarten),52.50768,13.35402,115.69,2.0,false,true,N/A,true,https://www.immobilienscout24.de/expose/126198557
125744335,Immergrün - ruhig gelegene Erdgeschosswohnung mit 15 qm Terrasse,13189,1150.0,Talstr.,5,Berlin,Pankow (Pankow),52.5545,13.4261,64.11,2.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/125744335
126384292,"1,5 Zimmerwohnung im Dachgeschoss",12053,950.0,Ilsenhof,14,Berlin,Neukölln (Neukölln),52.471,13.4332,47.8,2.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/126384292
125310553,Luisenpark - große 3-Raumwohnung mit EBK und Süd-Balkon - Zentrum Berlins,10179,1650.0,Stallschreiberstraße,16,Berlin,Mitte (Mitte),52.50671,13.4076,89.7,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/125310553
124276805,Ideale Single-Wohnungen - Erstbezug im Frühjahr!,12623,849.0,Hultschiner Damm,248,Berlin,Mahlsdorf (Hellersdorf),52.49609,13.61179,49.0,1.5,true,false,N/A,true,https://www.immobilienscout24.de/expose/124276805
126213800,4-Zimmer Luxuswohnung mit Loggia am Potsdamer Platz,10963,2735.0,Gabriele-Tergit-Promenade,21,Berlin,Tiergarten (Tiergarten),52.50399,13.37442,120.0,4.0,true,false,N/A,true,https://www.immobilienscout24.de/expose/126213800
120561232,Zentrale Lage in ruhiger Nachbarschaft - Nidostudent,14199,679.0,Breite Straße,42,Berlin,Schmargendorf (Wilmersdorf),52.4736,13.29542,35.0,1.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/120561232
103135708,Erlebe den Puls der City! Moderne 3-Zimmer-Wohnung auf 2 Etagen in bester Lage,10117,3363.57,Voßstraße,32,Berlin,Mitte (Mitte),52.51092,13.3814,170.66,3.0,true,true,N/A,true,https://www.immobilienscout24.de/expose/103135708
126377712,**2-Zimmer Wohnung in einzigartiger Lage in der Nähe zum Potsdamer Platz**,10117,1224.55,Leipziger Straße,130,Berlin,Mitte (Mitte),52.5105,13.38158,64.45,2.0,false,false,N/A,false,https://www.immobilienscout24.de/expose/126377712
120834044,Ruhige zentrale Lage- Claystudios,14169,769.0,Clayallee,336,Berlin,Zehlendorf (Zehlendorf),52.43719,13.26222,34.0,1.0,true,false,N/A,false,https://www.immobilienscout24.de/expose/120834044
121008348,Möblierte Zimmer - Gemeinschaftsbereiche - Zentrale Lage - NidoStudent,12205,559.0,Unter den Eichen,96,Berlin,Lichterfelde (Steglitz),52.44537,13.29355,17.0,1.0,false,false,N/A,true,https://www.immobilienscout24.de/expose/121008348
126037538,"Stilvolle und attraktive 1,5-Zimmer Neubauwohnung",13585,750.0,Schützenstraße,14b,Berlin,Spandau (Spandau),52.55109,13.2119,54.0,1.5,true,false,N/A,false,https://www.immobilienscout24.de/expose/126037538
